Time		    CASE	den	een	dex	eex	dut_led	exp_led
[3515000]		PASS:	0	0	0	0	1111	1111
[3525000]		PASS:	0	0	0	0	1111	1111
[3535000]		PASS:	0	0	0	0	1111	1111
[3545000]		PASS:	0	0	0	0	1111	1111
[3555000]		PASS:	1	1	0	0	1111	1111
[3565000]		PASS:	0	0	0	0	1111	1111
[3575000]		PASS:	0	0	0	0	1111	1111
[3585000]		PASS:	0	0	0	0	1111	1111
[3595000]		PASS:	0	0	0	0	1111	1111
[3605000]		PASS:	0	0	0	0	1111	1111
[3615000]		PASS:	0	0	0	0	1111	1111
[3625000]		PASS:	0	0	0	0	1111	1111
[3635000]		PASS:	0	0	0	0	1111	1111
[3645000]		PASS:	0	0	0	0	1111	1111
[3655000]		PASS:	0	0	0	0	1111	1111
[3665000]		PASS:	0	0	0	0	1111	1111
[3675000]		PASS:	0	0	0	0	1111	1111
[3685000]		PASS:	0	0	0	0	1111	1111
[3695000]		PASS:	0	0	0	0	1111	1111
[3705000]		PASS:	0	0	0	0	1111	1111
[3715000]		PASS:	0	0	0	0	1111	1111
[3725000]		PASS:	1	1	0	0	1111	1111
[3735000]		PASS:	0	0	0	0	1111	1111
[3745000]		PASS:	0	0	0	0	1111	1111
[3755000]		PASS:	0	0	0	0	1111	1111
[3765000]		PASS:	0	0	0	0	1111	1111
[3775000]		PASS:	0	0	0	0	1111	1111
[3785000]		PASS:	0	0	0	0	1111	1111
[3795000]		PASS:	0	0	0	0	1111	1111
[3805000]		PASS:	0	0	0	0	1111	1111
[3815000]		PASS:	0	0	0	0	1111	1111
[3825000]		PASS:	0	0	0	0	1111	1111
[3835000]		PASS:	0	0	0	0	1111	1111
[3845000]		PASS:	0	0	0	0	1111	1111
[3855000]		PASS:	0	0	0	0	1111	1111
[3865000]		PASS:	0	0	0	0	1111	1111
[3875000]		PASS:	0	0	0	0	1111	1111
[3885000]		PASS:	0	0	0	0	1111	1111
[3895000]		PASS:	0	0	0	0	1111	1111
[3905000]		PASS:	1	1	0	0	1111	1111
[3915000]		PASS:	0	0	0	0	1111	1111
[3925000]		PASS:	0	0	0	0	1111	1111
[3935000]		PASS:	0	0	0	0	1111	1111
[3945000]		PASS:	0	0	0	0	1111	1111
[3955000]		PASS:	0	0	0	0	1111	1111
[3965000]		PASS:	0	0	0	0	1111	1111
[3975000]		PASS:	0	0	0	0	1111	1111
[3985000]		PASS:	0	0	0	0	1111	1111
[3995000]		PASS:	0	0	0	0	1111	1111
[4005000]		PASS:	0	0	0	0	1111	1111
[4015000]		PASS:	0	0	0	0	1111	1111
[4025000]		PASS:	0	0	0	0	1111	1111
[4035000]		PASS:	0	0	0	0	1111	1111
[4045000]		PASS:	1	1	0	0	1111	1111
[4055000]		PASS:	0	0	0	0	1111	1111
[4065000]		PASS:	0	0	0	0	1111	1111
[4075000]		PASS:	0	0	0	0	1111	1111
[4085000]		PASS:	0	0	0	0	1111	1111
[4095000]		PASS:	0	0	0	0	1111	1111
[4105000]		PASS:	0	0	0	0	1111	1111
[4115000]		PASS:	0	0	0	0	1111	1111
[4125000]		PASS:	0	0	0	0	1111	1111
[4135000]		PASS:	0	0	0	0	1111	1111
[4145000]		PASS:	0	0	0	0	1111	1111
[4155000]		PASS:	0	0	0	0	1111	1111
[4165000]		PASS:	0	0	0	0	1111	1111
[4175000]		PASS:	0	0	0	0	1111	1111
[4185000]		PASS:	0	0	0	0	1111	1111
[4195000]		PASS:	0	0	0	0	1111	1111
[4205000]		PASS:	0	0	0	0	1111	1111
[4215000]		PASS:	0	0	0	0	1111	1111
[4225000]		PASS:	1	1	0	0	1111	1111
[4235000]		PASS:	0	0	0	0	1111	1111
[4245000]		PASS:	0	0	0	0	1111	1111
[4255000]		PASS:	0	0	0	0	1111	1111
[4265000]		PASS:	0	0	0	0	1111	1111
[4275000]		PASS:	0	0	0	0	1111	1111
[4285000]		PASS:	0	0	0	0	1111	1111
[4295000]		PASS:	0	0	0	0	1111	1111
[4305000]		PASS:	0	0	0	0	1111	1111
[4315000]		PASS:	0	0	0	0	1111	1111
[4325000]		PASS:	0	0	0	0	1111	1111
[4335000]		PASS:	0	0	0	0	1111	1111
[4345000]		PASS:	0	0	0	0	1111	1111
[4355000]		PASS:	0	0	0	0	1111	1111
[4365000]		PASS:	1	1	0	0	1111	1111
[4375000]		PASS:	0	0	0	0	1111	1111
[4385000]		PASS:	0	0	0	0	1111	1111
[4395000]		PASS:	0	0	0	0	1111	1111
[4405000]		PASS:	0	0	0	0	1111	1111
[4415000]		PASS:	0	0	0	0	1111	1111
[4425000]		PASS:	0	0	0	0	1111	1111
[4435000]		PASS:	0	0	0	0	1111	1111
[4445000]		PASS:	0	0	0	0	1111	1111
[4455000]		PASS:	0	0	0	0	1111	1111
[4465000]		PASS:	0	0	0	0	1111	1111
[4475000]		PASS:	0	0	0	0	1111	1111
[4485000]		PASS:	0	0	0	0	1111	1111
[4495000]		PASS:	0	0	0	0	1111	1111
[4505000]		PASS:	0	0	0	0	1111	1111
[4515000]		PASS:	0	0	0	0	1111	1111
[4525000]		PASS:	0	0	0	0	1111	1111
[4535000]		PASS:	1	1	0	0	1111	1111
[4545000]		PASS:	0	0	0	0	1111	1111
[4555000]		PASS:	0	0	0	0	1111	1111
[4565000]		PASS:	0	0	0	0	1111	1111
[4575000]		PASS:	0	0	0	0	1111	1111
[4585000]		PASS:	0	0	0	0	1111	1111
[4595000]		PASS:	0	0	0	0	1111	1111
[4605000]		PASS:	0	0	0	0	1111	1111
[4615000]		PASS:	0	0	0	0	1111	1111
[4625000]		PASS:	0	0	0	0	1111	1111
[4635000]		PASS:	0	0	0	0	1111	1111
[4645000]		PASS:	0	0	0	0	1111	1111
[4655000]		PASS:	0	0	0	0	1111	1111
[4665000]		PASS:	0	0	0	0	1111	1111
[4675000]		PASS:	0	0	0	0	1111	1111
[4685000]		PASS:	0	0	0	0	1111	1111
[4695000]		PASS:	0	0	0	0	1111	1111
[4705000]		PASS:	1	1	0	0	1111	1111
[4715000]		PASS:	0	0	0	0	1111	1111
[4725000]		PASS:	0	0	0	0	1111	1111
[4735000]		PASS:	0	0	0	0	1111	1111
[4745000]		PASS:	0	0	0	0	1111	1111
